tok	changepoint_idx	start_idx	end_idx	value
dealloye	2014-2015	2010-2011	2014-2015	13.702539941612876
idioblast	2014-2015	2010-2011	2014-2015	10.177275613913755
xip	2011-2012	2010-2011	2011-2012	16.552159143269506
species_9649	2013-2014	2011-2012	2013-2014	11.986903855904922
gene_33185	2013-2014	2012-2013	2013-2014	16.912398533401593
gene_33185	2018-2019	2015-2016	2018-2019	27.696582132349967
shill	2012-2013	2011-2012	2012-2013	11.514195626466062
gene_17855	2011-2012	2010-2011	2011-2012	11.916422429861857
gene_55605	2015-2016	2014-2015	2015-2016	17.22750010751581
lindgren	2011-2012	2010-2011	2011-2012	13.316738091367991
gene_43901	2011-2012	2010-2011	2011-2012	13.272165348387833
gene_856921	2011-2012	2010-2011	2011-2012	11.936321642834889
gene_10212	2017-2018	2014-2015	2017-2018	11.630622366962392
jaffna	2016-2017	2015-2016	2016-2017	13.43782394957067
gene_15430	2011-2012	2010-2011	2011-2012	9.89030558437789
gene_13119	2012-2013	2011-2012	2012-2013	10.215580924674057
gene_17973	2017-2018	2016-2017	2017-2018	11.655086774526493
gene_42065	2018-2019	2014-2015	2018-2019	11.835933422890987
gene_2001	2011-2012	2010-2011	2011-2012	12.084174169136286
gene_856461	2019-2020	2018-2019	2019-2020	12.111633539112875
gene_7088	2011-2012	2010-2011	2011-2012	22.29768988360662
gene_15033	2016-2017	2015-2016	2016-2017	12.170689956048886
gene_24626	2011-2012	2010-2011	2011-2012	16.200708655453372
plda	2014-2015	2012-2013	2014-2015	16.520901322094613
gene_19192	2015-2016	2014-2015	2015-2016	20.460972991142405
gene_19192	2018-2019	2017-2018	2018-2019	15.685219904849205
gene_8812	2013-2014	2010-2011	2013-2014	16.678580591873562
gene_8812	2017-2018	2016-2017	2017-2018	10.252066612816837
gene_9718	2019-2020	2013-2014	2019-2020	14.639914449822072
gene_21815	2011-2012	2010-2011	2011-2012	9.822463174108515
chvi	2017-2018	2010-2011	2017-2018	16.708290395546353
species_538120	2012-2013	2011-2012	2012-2013	11.08110290757763
fascaplysin	2016-2017	2015-2016	2016-2017	29.99430792253233
r155	2011-2012	2010-2011	2011-2012	10.670197585045985
bcec	2011-2012	2010-2011	2011-2012	15.34152898319626
martensite	2012-2013	2011-2012	2012-2013	13.821577786039539
nsp10	2013-2014	2012-2013	2013-2014	11.181331252971736
nsp10	2019-2020	2014-2015	2019-2020	9.913449956122925
gene_387162	2012-2013	2010-2011	2012-2013	10.745206730260307
borealin	2018-2019	2010-2011	2018-2019	13.895675986753904
csmf	2013-2014	2011-2012	2013-2014	10.0337362431415
gene_100314091	2018-2019	2016-2017	2018-2019	10.434943060500235
trma	2019-2020	2017-2018	2019-2020	10.490183871949922
orb6	2018-2019	2016-2017	2018-2019	14.17142659100077
species_104777	2012-2013	2010-2011	2012-2013	15.236186358558466
gene_56420	2012-2013	2011-2012	2012-2013	10.313193599397467
